"case","label","bench_test","bench_n_prompt","bench_n_gen","avg_ts","avg_ns","exit_code","ok","started","finished","elapsed_s","log"
"pp512_baseline","pp512 baseline","pp512","512","0","161.103907","3185137133","0","True","2026-03-04T06:16:58","2026-03-04T06:24:47","469.7","pp512_baseline.log"
"pp512_backhalf","pp512 prompt_packed_back_half","pp512","512","0","165.294421","3097772033","0","True","2026-03-04T06:24:47","2026-03-04T06:32:37","469.2","pp512_backhalf.log"
"pg512_128_baseline","pg512,128 baseline","pp512","512","0","158.69296","3239530366","0","True","2026-03-04T06:32:37","2026-03-04T06:41:19","522","pg512_128_baseline.log"
"pg512_128_baseline","pg512,128 baseline","tg128","0","128","17.227059","7430178933","0","True","2026-03-04T06:32:37","2026-03-04T06:41:19","522","pg512_128_baseline.log"
"pg512_128_baseline","pg512,128 baseline","pp512+tg128","512","128","60.37925","10599709566","0","True","2026-03-04T06:32:37","2026-03-04T06:41:19","522","pg512_128_baseline.log"
"pg512_128_backhalf","pg512,128 prompt_packed_back_half","pp512","512","0","164.162962","3119058366","0","True","2026-03-04T06:41:19","2026-03-04T06:50:04","524.8","pg512_128_backhalf.log"
"pg512_128_backhalf","pg512,128 prompt_packed_back_half","tg128","0","128","17.240189","7424539466","0","True","2026-03-04T06:41:19","2026-03-04T06:50:04","524.8","pg512_128_backhalf.log"
"pg512_128_backhalf","pg512,128 prompt_packed_back_half","pp512+tg128","512","128","60.740783","10536580433","0","True","2026-03-04T06:41:19","2026-03-04T06:50:04","524.8","pg512_128_backhalf.log"
