"scenario","scenario_kind","bench_test","bench_n_prompt","bench_n_gen","rtr","avg_ts","avg_ns","exit_code","ok","started","finished","elapsed_s","log"
"tg128","tg","tg128","0","128","auto","23.707807","5406103400","0","True","2026-03-03T06:09:28","2026-03-03T06:11:11","102.4","tg128_auto.log"
"pg512,128","pg","pp512","512","0","auto","272.749618","1896653433","0","True","2026-03-03T06:11:11","2026-03-03T06:11:56","45.5","pg512_128_auto.log"
"pg512,128","pg","tg128","0","128","auto","24.075077","5316705700","0","True","2026-03-03T06:11:11","2026-03-03T06:11:56","45.5","pg512_128_auto.log"
"pg512,128","pg","pp512+tg128","512","128","auto","90.283185","7088873733","0","True","2026-03-03T06:11:11","2026-03-03T06:11:56","45.5","pg512_128_auto.log"
