"scenario","scenario_kind","bench_test","bench_n_prompt","bench_n_gen","rtr","avg_ts","avg_ns","exit_code","ok","started","finished","elapsed_s","log"
"pg32,4","pg","pp512","512","0","auto","7.925032","64605415900","0","True","2026-03-01T22:43:47","2026-03-01T22:52:43","536.2","pg32_4_auto.log"
"pg32,4","pg","tg128","0","128","auto","1.167166","109667381300","0","True","2026-03-01T22:43:47","2026-03-01T22:52:43","536.2","pg32_4_auto.log"
"pg32,4","pg","pp32+tg4","32","4","auto","1.316512","27344990600","0","True","2026-03-01T22:43:47","2026-03-01T22:52:43","536.2","pg32_4_auto.log"
