"scenario","scenario_kind","bench_test","bench_n_prompt","bench_n_gen","rtr","avg_ts","avg_ns","exit_code","ok","started","finished","elapsed_s","log"
"tg128","tg","tg128","0","128","off","14.134468","9055876700","0","True","2026-03-03T06:11:56","2026-03-03T06:19:03","427.1","tg128_off.log"
"tg128","tg","tg128","0","128","auto","16.657064","7684427400","0","True","2026-03-03T06:19:03","2026-03-03T06:26:49","465.3","tg128_auto.log"
"pg512,128","pg","pp512","512","0","off","118.33103","4326844800","0","True","2026-03-03T06:26:49","2026-03-03T06:31:32","283.4","pg512_128_off.log"
"pg512,128","pg","tg128","0","128","off","16.77381","7630943600","0","True","2026-03-03T06:26:49","2026-03-03T06:31:32","283.4","pg512_128_off.log"
"pg512,128","pg","pp512+tg128","512","128","off","59.08903","10831113700","0","True","2026-03-03T06:26:49","2026-03-03T06:31:32","283.4","pg512_128_off.log"
"pg512,128","pg","pp512","512","0","auto","147.881111","3462240700","0","True","2026-03-03T06:31:32","2026-03-03T06:39:41","488.8","pg512_128_auto.log"
"pg512,128","pg","tg128","0","128","auto","17.469667","7326985800","0","True","2026-03-03T06:31:32","2026-03-03T06:39:41","488.8","pg512_128_auto.log"
"pg512,128","pg","pp512+tg128","512","128","auto","60.177522","10635200300","0","True","2026-03-03T06:31:32","2026-03-03T06:39:41","488.8","pg512_128_auto.log"
