"config","scenario","scenario_kind","bench_test","bench_n_prompt","bench_n_gen","avg_ts","avg_ns","exit_code","ok","started","finished","elapsed_s","log"
"baseline_default","tg128","tg","tg128","0","128","1.332637","96113736566","0","True","2026-03-03T00:10:16","2026-03-03T00:17:40","444.6","tg128_baseline.log"
"tail_window_16","tg128","tg","tg128","0","128","1.282882","99895984000","0","True","2026-03-03T00:17:40","2026-03-03T00:25:06","445.6","tg128_tail16.log"
"baseline_default","pg512,128","pg","pp512","512","0","8.557544","60005796300","0","True","2026-03-03T00:25:06","2026-03-03T00:46:43","1296.5","pg512_128_baseline.log"
"baseline_default","pg512,128","pg","tg128","0","128","1.260793","101551490766","0","True","2026-03-03T00:25:06","2026-03-03T00:46:43","1296.5","pg512_128_baseline.log"
"baseline_default","pg512,128","pg","pp512+tg128","512","128","3.991484","160408057966","0","True","2026-03-03T00:25:06","2026-03-03T00:46:43","1296.5","pg512_128_baseline.log"
"tail_window_16","pg512,128","pg","pp512","512","0","8.162181","63474630066","0","True","2026-03-03T00:46:43","2026-03-03T01:08:31","1308.1","pg512_128_tail16.log"
"tail_window_16","pg512,128","pg","tg128","0","128","1.246305","102840093633","0","True","2026-03-03T00:46:43","2026-03-03T01:08:31","1308.1","pg512_128_tail16.log"
"tail_window_16","pg512,128","pg","pp512+tg128","512","128","4.030163","158937761466","0","True","2026-03-03T00:46:43","2026-03-03T01:08:31","1308.1","pg512_128_tail16.log"
